Ngôn ngữ định nghĩa dữ liệu thực chất là:,Hệ thống các kí hiệu để mô tả CSDL
Trong ngôn ngữ định nghĩa dữ liệu không cho phép thực hiện thao tác nào?,Mô tả các đối tượng trong CSDL
Ngôn ngữ thao tác dữ liệu thực chất là:,Ngôn ngữ để người dùng diễn tả yêu cầu cập nhật hay khai thác thông tin
Ngôn ngữ thao tác dữ liệu bao gồm các lệnh cho phép:,"Cập nhật (nhập, xóa, ...) và khai thác (sắp xếp, tìm kiếm,..)"
Ngôn ngữ CSDL được sử dụng phổ biến hiện nay là:,SQL
"Đâu không thuộc nhiệm vụ của công cụ kiểm soát, điều khiển truy cập vào CSDL?",Tạo lập cơ sở dữ liệu
Việc xây dựng một CSDL của một tổ chức được tiến hành mấy bước?,3
Người nào đã tạo ra các phần mềm ứng dụng đáp ứng nhu cầu khai thác thông tin từ CSDL?,Người lập trình ứng dụng
Người nào có vai trò quan trọng trong vấn đề phân quyền truy cập sử dụng CSDL?,Nguời quản trị CSDL
Việc lưu trữ dữ liệu đầy đủ và hợp lí sẽ:,Cả A và B đều đúng
Cần tiến hành cập nhật hồ sơ học sinh của nhà trường trong các trường hợp nào sau đây?,"Một học sinh mới chuyển từ trường khác đến; thông tin về ngày sinh của một học sinh bị sai."
